City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
214,susanville,75,US,1554391092,81,40.42,-120.65,43,2.39
215,tiksi,0,RU,1554391270,74,71.64,128.87,18.25,6.08
216,qaanaaq,76,GL,1554391270,86,77.48,-69.36,6.01,17.72
217,tank,48,PK,1554391271,50,32.22,70.39,73.06,3.62
218,mackay,90,CA,1554389460,88,53.65,-115.58,32,2.24
219,zhezkazgan,75,KZ,1554386400,58,47.8,67.71,53.6,13.42
220,bazarnyy karabulak,92,RU,1554391272,97,52.28,46.41,32.47,6.31
221,severo-kurilsk,92,RU,1554391272,98,50.68,156.12,32.2,3.29
222,margate,20,AU,1554391214,70,-43.03,147.26,52,8.05
223,umm kaddadah,0,SD,1554391068,7,13.6,26.69,95.65,10.67
224,reyes,90,BO,1554386400,88,-14.3,-67.34,78.8,9.17
225,nome,90,US,1554391235,94,30.04,-94.42,71.6,5.82
226,alvorada,0,BR,1554391246,58,-30,-51.08,91.99,8.05
227,viedma,0,AR,1554391109,45,-40.81,-62.99,68.38,21.3
228,hobyo,0,SO,1554391275,77,5.35,48.53,82.6,12.12
229,camacha,20,PT,1554390000,52,33.08,-16.33,64.4,13.87
230,vila franca do campo,20,PT,1554391224,58,37.72,-25.43,59,18.34
231,lorengau,80,PG,1554391276,97,-2.02,147.27,83.23,7.99
232,beloha,64,MG,1554391276,31,-25.17,45.06,89.8,7.76
233,birjand,20,IR,1554390000,21,32.86,59.22,69.8,6.93
234,wewak,80,PG,1554391277,100,-3.55,143.63,75.76,0.6
235,khanu woralaksaburi,44,TH,1554391277,66,16.06,99.86,79.36,6.53
236,havelock,20,US,1554391003,52,34.88,-76.9,69.01,4.7
237,new richmond,90,CA,1554389940,50,48.17,-65.87,28.4,26.4
238,swan hill,0,AU,1554391279,81,-35.34,143.56,58.93,6.2
239,palmares do sul,12,BR,1554390935,54,-30.26,-50.51,91.99,8.01
240,ponta do sol,0,BR,1554391279,60,-20.63,-46,85.57,7.2
241,touros,24,BR,1554391054,91,-5.2,-35.46,83.68,3.18
242,lebu,75,ET,1554386400,52,8.96,38.73,69.8,6.93
243,faanui,80,PF,1554391281,99,-16.48,-151.75,84.85,8.66
244,narsaq,75,GL,1554389400,42,60.91,-46.05,28.4,2.24
245,chuy,0,UY,1554391047,94,-33.69,-53.46,79,8.43
